,route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,jp_parent_route_id,route_color,route_text_color
5,3-中谷地・本郷(6011),3-3410001006019,,中谷地・本郷,,3,,80FF80,000000
6,3-中谷地・本郷(6012),3-3410001006019,,中谷地・本郷,,3,,80FF80,000000
7,3-大石渡・谷地の平(6013),3-3410001006019,,大石渡・谷地の平,,3,,00FF80,000000
8,3-大石渡・谷地の平(6014),3-3410001006019,,大石渡・谷地の平,,3,,00FF80,000000
9,3-山田・赤川(6015),3-3410001006019,,山田・赤川,,3,,400080,FFFFFF
10,3-山田・赤川(6016),3-3410001006019,,山田・赤川,,3,,400080,FFFFFF
11,3-花輪小坂(3109),3-3410001006019,,花輪小坂,,3,,800040,FFFFFF
12,3-さわやかみなみ(1023),3-3410001006019,,さわやかみなみ,,3,,00FF80,000000
13,3-さわやかみなみ(1024),3-3410001006019,,さわやかみなみ,,3,,00FF80,000000
14,3-さわやかみなみ(1025),3-3410001006019,,さわやかみなみ,,3,,00FF80,000000
15,3-さわやかみなみ(1026),3-3410001006019,,さわやかみなみ,,3,,00FF80,000000
16,3-さわやかみなみ(1027),3-3410001006019,,さわやかみなみ,,3,,00FF80,000000
17,3-さわやかみなみ(1028),3-3410001006019,,さわやかみなみ,,3,,00FF80,000000
18,3-さわやかみなみ(1029),3-3410001006019,,さわやかみなみ,,3,,00FF80,000000
19,3-さわやかみなみ(1030),3-3410001006019,,さわやかみなみ,,3,,00FF80,000000
20,3-さわやかみなみ(1032),3-3410001006019,,さわやかみなみ,,3,,00FF80,000000
21,3-獅子ヶ森環状線（新道経由）(1033),3-3410001006019,,獅子ヶ森環状線（新道経由）,,3,,80FFFF,000000
22,3-獅子ヶ森環状線（ドーム経由）(1034),3-3410001006019,,獅子ヶ森環状線（ドーム経由）,,3,,80FFFF,000000
23,3-矢立(1035),3-3410001006019,,矢立,,3,,0080FF,FFFFFF
24,3-矢立(1036),3-3410001006019,,矢立,,3,,0080FF,FFFFFF
25,3-矢立(1037),3-3410001006019,,矢立,,3,,0080FF,FFFFFF
26,3-矢立(1038),3-3410001006019,,矢立,,3,,0080FF,FFFFFF
